use_code,use
0100,Single Family Residence
0101,Single Residence with Pool
0104,Single Residence with Therapy Pool
010C,Single Residence/Condo
010D,Single Residence/Planned Development
010E,Single Residence/Condo Conversion
010F,Single Residence/Cooperative
010H,Single Residence/Own Your Own
010V,Vacant Land
0200,Two Units/4 Stories or Less
0201,"Two Units w/ Pool, 4 Stories or Less"
0250,Two Units/5 Stories or More
0251,"Two Units w/ Pool, 5 Stories or More"
0300,Three Units/4 Stories or Less
0301,"Three Units w/ Pool, 4 Stories or Less"
0350,Three Units/5 Stories or More
0351,"Three Units w/ Pool, 5 Stories or More"
0400,Four Units/4 Stories or Less
0401,"Four Units w/ Pool, 4 Stories or Less"
040V,Vacant Land - Residential
0450,"Four Units, 5 Stories or More"
0451,"Four Units w/ Pool, 5 Stories or More"
050A,Multi-Unit Own-Your-Own
0500,5+ Units/4 Stories or Less
0501,"5+ Units w/ Pool, 4 Stories or Less"
050A,Mulitunit Coopertaive
050B,Multiunit Own Your Own
0550,5+ Units/5 Stories or More
0551,"5+ Units w/Pool, 5 Stories or More"
0600,Modular Home/Single Residence
0601,Modular Home/Single Residence w/ Pool
0604,Modular Home/Single Residence w/ Therapy Pool
060C,Modular Home/Single Residence/Condo
060D,Modular Home/Single Residence/ Planned Dev.
0610,Modular Home/Multiple Residence
0611,Modular Home/Multiple Residence w/ Pool
0614,Modular Home/Multiple Residence w/ Therapy Pool
061C,Modular Home/Multiple Residence/Condo
061D,Modular Home/Multiple Res/Planned Dev
0700,Mobile Home/Single Residence/ Not in Park
070D,Mobile Home-Double Wide
070L,Mobile Home- Licensed
070P,Mobile Home/Single Residence
070Q,Mobile Home- Quad-wide
070S,Mobile Home- Single-wide
070T,Mobile Home- Triple-wide
0710,Mobile Home/Multiple Residence/ Not in Park
071P,Mobile Home- Licensed
0800,Rooming House
0900,Mobile Home Park
0901,Mobile Home Park w/ Pool
1000,Commercial
100V,Vacant Land - Commercial
1100,Store
110V,Vacant Land-Commercial
1010,Miscellaneous Commercial
1200,Store and Office Combination
1210,Store and Residential Combo
1300,Department Store
1310,Discount Department Store
1320,Building Supplies
1330,Home Furnishings
1340,Retail-Warehouse Combo
1400,Supermarket
1410,Supermarket
1420,Small Food Store
1500,Neighborhood Shopping
1600,Regional Shopping
1700,Office Building
1710,Office Building/Loft Type
1720,Office Building/Residential
1800,Hotel/Under 50 Rooms
1810,Hotel/50 Rooms and Over
1820,Motel/Under 50 Rooms
1830,Motel/50 Rooms and Over
1840,Motel or Hotel/Apt Under 50 Units
1850,Motel or Hotel/Apt 50 Units and Up
1900,Professional Building
1910,Medical/Dental Building
1912,Medical/Dental Bldg. 2-5 Stories
1920,Veterinary Hospital/Clinic
2000,Commercial
2100,Restaurant/Lounge/Tavern
210V,Vacant Land Restaurant/Lounge/Tavern
2110,Fast Food-Walkup
2120,Fast Food Drive-up
